,Date,Open,High,Low,Close,Adj Close,Volume,Soma de Volume com abertura
664,2000-01-03,4.08,4.48,3.95,4.47,4.47,322352000,322352004.08
665,2000-01-04,4.27,4.58,4.09,4.1,4.1,349748000,349748004.27
666,2000-01-05,3.52,3.76,3.4,3.49,3.49,769148000,769148003.52
667,2000-01-06,3.57,3.63,3.2,3.28,3.28,375040000,375040003.57
668,2000-01-07,3.35,3.52,3.31,3.48,3.48,210108000,210108003.35
669,2000-01-10,3.63,3.63,3.28,3.46,3.46,295158000,295158003.63
670,2000-01-11,3.34,3.5,3.25,3.34,3.34,210654000,210654003.34
671,2000-01-12,3.39,3.4,3.15,3.18,3.18,216090000,216090003.39
672,2000-01-13,3.25,3.36,3.16,3.3,3.3,208962000,208962003.25
673,2000-01-14,3.34,3.43,3.2,3.21,3.21,137072000,137072003.34
674,2000-01-18,3.17,3.26,3.15,3.21,3.21,107698000,107698003.17
675,2000-01-19,3.21,3.38,3.15,3.34,3.34,164910000,164910003.21
676,2000-01-20,3.35,3.35,3.2,3.24,3.24,119560000,119560003.35
677,2000-01-21,3.23,3.23,3.0,3.1,3.1,229238000,229238003.23
678,2000-01-24,3.38,3.67,3.38,3.51,3.51,583404000,583404003.38
679,2000-01-25,3.5,3.56,3.3,3.46,3.46,188682000,188682003.5
680,2000-01-26,3.43,3.5,3.24,3.24,3.24,131160000,131160003.43
681,2000-01-27,3.26,3.39,3.23,3.35,3.35,135680000,135680003.26
682,2000-01-28,3.25,3.32,3.0,3.08,3.08,275558000,275558003.25
